"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100p","~","AA-PI-Footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"C2,C6,C11,C12,C13,C14,C15,C20,C21,C26,C27","100n","~","AA-PI-Footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","11",""
"C3,C7","100u","~","AA-PI-Footprints:CP_EIA-7343-31_Kemet-D","2",""
"C4","47u","~","AA-PI-Footprints:CP_EIA-3528-21_Kemet-B","1",""
"C8","22u","~","AA-PI-Footprints:CP_EIA-3528-21_Kemet-B","1",""
"C10,C32,C33","10u","~","AA-PI-Footprints:CP_EIA-3528-21_Kemet-B,AA-PI-Footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","3",""
"C17,C18","10n","~","AA-PI-Footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"C24,C25","300p","~","AA-PI-Footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"C28,C29","1n","~","AA-PI-Footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"C30,C31","82p","~","AA-PI-Footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"D1,D2","4148","~","AA-PI-Footprints:D_SOD-323_HandSoldering","2",""
"J1","ANT-IN","~","AA-PI-Footprints:SMA_Amphenol_901-144_Vertical","1",""
"J2","Main Board","~","AA-PI-Footprints:1.25-AB-SMT-10pin-Vertical","1",""
"J3,J4","INDUCT","~","AA-PI-Footprints:MMCX_Molex_73415-1471_Vertical","2",""
"JP1","HWCAL","~","AA-PI-Footprints:PinHeader_1x02_P2.00mm_Vertical","1",""
"JP2","WORK","~","AA-PI-Footprints:PinHeader_1x02_P2.00mm_Vertical","1",""
"L1,L2,L3,L4","0.5","~","AA-PI-Footprints:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","4",""
"R1,R2","10K","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"R3","12","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R4,R12","200","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"R5,R14","5.1","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"R6","1.5K","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R7","10","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R8,R9,R11,R13","51","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","4",""
"R10","510","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R15,R16","3.3K","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"R17,R18,R19,R21","12K","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","4",""
"R20,R22","75K","~","AA-PI-Footprints:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP8","TestPoint","~","AA-PI-Footprints:TestPoint_THTPad_D1.0mm_Drill0.5mm","7",""
"U1","Si5351A","http://uk.rs-online.com/web/p/products/1690077","AA-PI-Footprints:SOP50P490X110-10N","1",""
"U2,U3","SA612A","https://www.nxp.com/docs/en/data-sheet/SA612A.pdf","AA-PI-Footprints:SOIC127P600X175-8N","2",""
"U5","MC4558","","AA-PI-Footprints:SOIC127P600X175-8N","1",""
"Y1","27M","~","AA-PI-Footprints:Crystal_SMD_5032-2Pin_5.0x3.2mm","1",""
